Region,City,AreaName,BlockNo.,LotNo.,Classification,DealDate,DealNo.,AreaInSquareMeters,PricePerSquareMeters,DealPrice
منطقة الرياض,الارطاوي,حي/أخرى,مخطط/أخرى, قطعة 45,تجاري,1/9/2019,7658528,330250,0.2997,99000
منطقة الرياض,الارطاوي,حي/أخرى,مخطط/أخرى, قطعة ق ط ع هـ,تجاري,1/9/2019,7665577,75000,1.32,99000
منطقة الرياض,الافلاج,حي/غرب ليلى على طريق الأحمر,مخطط/74, قطعة 21,تجاري,1/28/2019,8037072,50000,2,100000
منطقة الرياض,البديع الجنوبي,حي/أخرى,مخطط/أخرى, قطعة 1,تجاري,1/14/2019,7959173,1421007,0.0351,50000
منطقة الرياض,البديع الجنوبي,حي/أخرى,مخطط/أخرى, قطعة 8,تجاري,1/21/2019,8008329,50000,1,50000
منطقة الرياض,الخرج,حي/أخرى,مخطط/أخرى, قطعة 1,تجاري,1/24/2019,8027954,64000,0.4687,30000
منطقة الرياض,الخرج,حي/أخرى,مخطط/أخرى, قطعة 2,تجاري,1/13/2019,7976251,51947.17,22.1378,1150000
منطقة الرياض,الخرج,حي/أخرى,مخطط/أخرى, قطعة 4,تجاري,1/29/2019,8043005,41450,22.9799,952520
منطقة الرياض,الخرج,حي/أخرى,مخطط/أخرى, قطعة 89,تجاري,1/1/2019,7936025,50000,3.43,171500
منطقة الرياض,الدرعيه,حي/العمارية,مخطط/24 فى/ 14/ 4/ 1429, قطعة 3,تجاري,1/1/2019,7933565,10000,307.5,3075000
منطقة الرياض,الدرعيه,حي/العمارية,مخطط/24 فى/ 14/ 4/ 1429, قطعة 4,تجاري,1/1/2019,7933500,10000,307.5,3075000
منطقة الرياض,الدرعيه,حي/العمارية,مخطط/24 فى/ 14/ 4/ 1429, قطعة 41,تجاري,1/1/2019,7933298,10199.98,307.5,3136494
منطقة الرياض,الدرعيه,حي/العمارية,مخطط/25, قطعة 141,تجاري,1/2/2019,7937281,12861.19,235.75,3032026
منطقة الرياض,الدرعيه,حي/العمارية,مخطط/25, قطعة 45,تجاري,1/3/2019,7940979,10060.88,420.25,4228085
منطقة الرياض,الدرعيه,حي/العمارية,مخطط/25, قطعة 46,تجاري,1/3/2019,7940988,10039.94,420.25,4219285
منطقة الرياض,الدرعيه,حي/العمارية,مخطط/25, قطعة 47,تجاري,1/3/2019,7940999,10048.72,420.25,4222975
منطقة الرياض,الدرعيه,حي/العمارية,مخطط/25 فى 14/ 4/ 1429, قطعة 48,تجاري,1/2/2019,7937380,10056.68,420.25,4226320
منطقة الرياض,الدرعيه,حي/العمارية,مخطط/25 فى 14/ 4/ 1429, قطعة 49,تجاري,1/2/2019,7937132,10127.78,420.25,4256200
منطقة الرياض,الدرعيه,حي/العمارية,مخطط/25 فى 14/ 4/ 1429, قطعة 50,تجاري,1/13/2019,7963324,10071.94,420.25,4232733
منطقة الرياض,الدرعيه,حي/العمارية,مخطط/25 فى 14/ 4/ 1429, قطعة 79,تجاري,1/1/2019,7933168,10092.67,307.4999,3103496
منطقة الرياض,الدرعيه,حي/العمارية,مخطط/25 فى 14/ 4/ 1429, قطعة 80,تجاري,1/1/2019,7933584,10923.45,307.5,3358961
منطقة الرياض,الدرعيه,حي/العمارية,مخطط/25 فى 14/ 4/ 1429, قطعة 81,تجاري,1/1/2019,7933616,10079.32,307.5,3099391
منطقة الرياض,الدرعيه,حي/العمارية,مخطط/25 فى 14/ 4/ 1429, قطعة 82,تجاري,1/1/2019,7933630,10415.93,307.4999,3202898
منطقة الرياض,الدرعيه,حي/العمارية,مخطط/25 فى 14/ 4/ 1429, قطعة 83,تجاري,1/1/2019,7933663,10489.28,307.5,3225454
منطقة الرياض,الدرعيه,حي/العمارية,مخطط/25 فى 14/ 4/ 1429, قطعة 84,تجاري,1/1/2019,7933678,10483.3,307.5,3223615
منطقة الرياض,الدرعيه,حي/العمارية,مخطط/أخرى, قطعة 25/5/28,تجاري,1/20/2019,8005018,10604.47,135,1431604
منطقة الرياض,الدرعيه,حي/العمارية,مخطط/أخرى, قطعة 27/5/28,تجاري,1/20/2019,8004972,10106,135,1364310
منطقة الرياض,الدرعيه,حي/العمارية,مخطط/من القطعة رقم 134, قطعة 369,تجاري,1/24/2019,8027046,7500,75,562500
منطقة الرياض,الدلم,حي/أخرى,مخطط/أخرى, قطعة 1,تجاري,1/6/2019,7946593,820800,0.4873,400000
منطقة الرياض,الدلم,حي/الضبيعه,مخطط/بدون والمسمى الاستراحات, قطعة 2280,تجاري,1/29/2019,8040568,5000,54,270000
منطقة الرياض,الزلفي,حي/أخرى,مخطط/أخرى, قطعة 1,تجاري,1/20/2019,8004839,185600,0.5118,95000
منطقة الرياض,الزلفي,حي/أخرى,مخطط/أخرى, قطعة 12,تجاري,1/16/2019,7990041,54000,0.1851,10000
منطقة الرياض,الزلفي,حي/أخرى,مخطط/أخرى, قطعة 12,تجاري,1/17/2019,7993918,54000,0.1851,10000
منطقة الرياض,الزلفي,حي/أخرى,مخطط/أخرى, قطعة 3,تجاري,1/20/2019,8004996,50000,1,50000
منطقة الرياض,الزلفي,حي/أخرى,مخطط/أخرى, قطعة 3,تجاري,1/21/2019,8007721,102000,0.8333,85000
منطقة الرياض,الزلفي,حي/أخرى,مخطط/أخرى, قطعة 5,تجاري,1/20/2019,8004568,100000,0.65,65000
منطقة الرياض,الزلفي,حي/أخرى,مخطط/أخرى, قطعة 6,تجاري,1/21/2019,8004798,100000,0.95,95000
منطقة الرياض,الزلفي,حي/أخرى,مخطط/أخرى, قطعة 6,تجاري,1/21/2019,8009037,100000,0.95,95000
منطقة الرياض,الزلفي,حي/أخرى,مخطط/أخرى, قطعة 9,تجاري,1/9/2019,7962309,50070,7.9888,400000
منطقة الرياض,الزلفي,حي/أخرى,مخطط/أخرى,عدد العقارات 2-أول قطعة5,تجاري,1/20/2019,8004928,100000,1,100000
منطقة الرياض,الزلفي,حي/شمال علقة,مخطط/أخرى, قطعة 48/ب,تجاري,1/9/2019,7962254,23500,8.5106,200000
منطقة الرياض,القصب,حي/أخرى,مخطط/أخرى, قطعة 1,تجاري,1/21/2019,7969343,2000000,0.045,90000
منطقة الرياض,القصب,حي/عطية بالحمادة,مخطط/أخرى, قطعة بدون,تجاري,1/21/2019,8000959,479000,1.002,480000
منطقة الرياض,القويعيه,حي/أخرى,مخطط/أخرى, قطعة 1,تجاري,1/2/2019,7938783,600000,0.3432,205922
منطقة الرياض,القويعيه,حي/أخرى,مخطط/أخرى, قطعة 1,تجاري,1/13/2019,7971413,211700,1.417,300000
منطقة الرياض,القويعيه,حي/أخرى,مخطط/أخرى, قطعة 1/أ,تجاري,1/10/2019,7969134,373650,0.0936,35000
منطقة الرياض,القويعيه,حي/أخرى,مخطط/أخرى, قطعة 4,تجاري,1/8/2019,7957422,65475,0.229,15000
منطقة الرياض,القويعيه,حي/أخرى,مخطط/أخرى, قطعة 7,تجاري,1/24/2019,8015854,50000,0.2,10000
منطقة الرياض,القويعيه,حي/بدون,مخطط/أخرى, قطعة 103,تجاري,1/8/2019,7956792,5000,50,250000
منطقة الرياض,القويعيه,حي/بدون,مخطط/أخرى, قطعة 105,تجاري,1/8/2019,7957087,5000,50,250000
منطقة الرياض,المجمعه,حي/أخرى,مخطط/أخرى, قطعة 2,تجاري,1/7/2019,7952115,50000,5,250000
منطقة الرياض,المجمعه,حي/أخرى,مخطط/أخرى, قطعة 272,تجاري,1/17/2019,7996089,54700,0.457,25000
منطقة الرياض,المجمعه,حي/أخرى,مخطط/أخرى, قطعة 41,تجاري,1/15/2019,7981752,51000,1.9607,100000
منطقة الرياض,المزاحميه,حي/أخرى,مخطط/أخرى, قطعة 1,تجاري,1/16/2019,7993263,871150,0.0918,80000
منطقة الرياض,المزاحميه,حي/أخرى,مخطط/أخرى, قطعة 1,تجاري,1/31/2019,8053492,95300,1.0493,100000
منطقة الرياض,المزاحميه,حي/أخرى,مخطط/أخرى, قطعة 1617,تجاري,1/17/2019,7994808,4800,20.8333,100000
منطقة الرياض,المزاحميه,حي/أخرى,مخطط/أخرى, قطعة 74,تجاري,1/7/2019,7954064,50000,10,500000
منطقة الرياض,النويعمه,حي/أخرى,مخطط/أخرى, قطعة 1,تجاري,1/8/2019,7957240,1207000,0.0828,100000
منطقة الرياض,النويعمه,حي/أخرى,مخطط/أخرى, قطعة 1,تجاري,1/8/2019,7959602,131600,2.0398,268440
منطقة الرياض,النويعمه,حي/أخرى,مخطط/أخرى, قطعة 1,تجاري,1/8/2019,7960260,1561200,0.064,100000
منطقة الرياض,النويعمه,حي/أخرى,مخطط/أخرى, قطعة 11,تجاري,1/10/2019,7968153,101000,0.3465,35000
منطقة الرياض,النويعمه,حي/أخرى,مخطط/أخرى, قطعة 2,تجاري,1/7/2019,7953445,12785,7.8216,100000
منطقة الرياض,جلاجل,حي/أخرى,مخطط/أخرى, قطعة 1,تجاري,1/2/2019,7938603,72680,1.3758,100000
منطقة الرياض,"حريملاء",حي/البره,مخطط/864, قطعة 1,تجاري,1/31/2019,8054636,75855,3.2957,250000
منطقة الرياض,"حريملاء",حي/دقله,مخطط/9461, قطعة 71,تجاري,1/17/2019,7996216,50000,30,1500000
منطقة الرياض,"حريملاء",حي/ملهم,مخطط/725, قطعة 29,تجاري,1/9/2019,7961458,50000,63,3150000
منطقة الرياض,"حريملاء",حي/ملهم,مخطط/851, قطعة 33,تجاري,1/9/2019,7961621,62500,36,2250000
منطقة الرياض,"حريملاء",حي/ملهم,مخطط/851, قطعة 34,تجاري,1/9/2019,7961522,60000,37.5,2250000
منطقة الرياض,"حريملاء",حي/ملهم,مخطط/851, قطعة 35,تجاري,1/9/2019,7961750,75000,23.3333,1750000
منطقة الرياض,"حريملاء",حي/ملهم,مخطط/890, قطعة 2,تجاري,1/14/2019,7978553,50000,27,1350000
منطقة الرياض,"حريملاء",حي/ملهم,مخطط/934, قطعة 8,تجاري,1/6/2019,7947911,50000,36,1800000
منطقة الرياض,حوطة سدير,حي/أخرى,مخطط/أخرى, قطعة 13,تجاري,1/16/2019,7988521,60000,600,36000000
منطقة الرياض,حوطة سدير,حي/أخرى,مخطط/أخرى, قطعة 197,تجاري,1/6/2019,7943232,50000,8.1,405000
منطقة الرياض,"شقراء",حي/أخرى,مخطط/أخرى, قطعة 10,تجاري,1/1/2019,7936590,50000,0.6,30000
منطقة الرياض,"شقراء",حي/أخرى,مخطط/أخرى, قطعة 32,تجاري,1/27/2019,8032087,50000,8,400000
منطقة الرياض,"شقراء",حي/أخرى,مخطط/أخرى, قطعة 37و38,تجاري,1/21/2019,7964154,102500,1.9512,200000
منطقة الرياض,"شقراء",حي/أخرى,مخطط/أخرى, قطعة 6و5و4و3,تجاري,1/30/2019,7096821,200000,0.5,100000
منطقة الرياض,"شقراء",حي/أخرى,مخطط/أخرى, قطعة 80,تجاري,1/17/2019,7754257,1000000,2.8,2800000
منطقة الرياض,"ضرماء","حي/غرب ضرماء",مخطط/أخرى, قطعة 1,تجاري,1/17/2019,7990892,654324,3.4233,2240000
منطقة الرياض,وادي الدواسر,حي/أخرى,مخطط/أخرى, قطعة 26,تجاري,1/24/2019,8019225,50000,1,50000
منطقة الرياض,وادي الدواسر,حي/أخرى,مخطط/أخرى, قطعة 35و37,تجاري,1/14/2019,7980644,100000,0.86,86000
منطقة الرياض,وادي الدواسر,حي/الخماسين,مخطط/أخرى, قطعة 1,تجاري,1/30/2019,8041829,933300,0.5357,500000
منطقة الرياض,وادي الدواسر,حي/الخماسين,مخطط/أخرى, قطعة 16,تجاري,1/24/2019,8027293,50000,1,50000
منطقة الرياض,وادي الدواسر,حي/الخماسين,مخطط/أخرى, قطعة 5,تجاري,1/21/2019,8010858,59000,1.6949,100000
منطقة المدينة المنورة,المدينة المنورة,"حي/الحمراء",مخطط/أخرى, قطعة 37,تجاري,1/30/2019,8045653,30000,3,90000
منطقة المدينة المنورة,المدينة المنورة,حي/المزين,مخطط/أخرى, قطعة بدون,تجاري,1/16/2019,7988799,39281.12,132.0286,5186232
منطقة المدينة المنورة,المدينة المنورة,حي/ام حكره جنوب شرق العاقول,مخطط/أخرى, قطعة بدون,تجاري,1/27/2019,8033139,14476.41,310.8505,4500000
منطقة المدينة المنورة,المدينة المنورة,حي/خلص شرق الطريق,مخطط/ى/ 3/ 1406هـ, قطعة 10,تجاري,1/31/2019,8053380,30000,1.6,48000
منطقة المدينة المنورة,المدينة المنورة,حي/راس وادى المبعوث,مخطط/أخرى, قطعة بدون,تجاري,1/16/2019,7990394,34544.9,401.972,13886084
منطقة المدينة المنورة,خيبر,حي/أخرى,مخطط/أخرى, قطعة 1,تجاري,1/24/2019,8025083,65250,1.226,80000
منطقة المدينة المنورة,خيبر,حي/أخرى,مخطط/أخرى, قطعة 2,تجاري,1/21/2019,8007783,65100,1.3824,90000
منطقة المدينة المنورة,خيبر,حي/أخرى,مخطط/أخرى, قطعة 2,تجاري,1/24/2019,8026645,58000,5.1724,300000
منطقة المدينة المنورة,خيبر,حي/الصلصله,مخطط/أخرى, قطعة 1,تجاري,1/24/2019,8027033,58000,5.1724,300000
منطقة القصيم,البدائع,حي/جنوب البدائع,مخطط/أخرى, قطعة 35,تجاري,1/6/2019,7947263,50000,1.2,60000
منطقة القصيم,البدائع,حي/جنوب البدائع,مخطط/أخرى, قطعة بدون,تجاري,1/10/2019,7966624,907627,0.8814,800000
منطقة القصيم,البدائع,حي/جنوب البدائع,مخطط/أخرى, قطعة بدون,تجاري,1/27/2019,8033069,907627,1.4102,1280000
منطقة القصيم,البكيريه,حي/شرق البكيرية,مخطط/429, قطعة 3,تجاري,1/15/2019,7959977,51475,1.9426,100000
منطقة القصيم,البكيريه,حي/شرق البكيرية,مخطط/429, قطعة 4,تجاري,1/15/2019,7959910,51475,1.9426,100000
منطقة القصيم,البكيريه,حي/شرق البكيرية,مخطط/478, قطعة 1,تجاري,1/15/2019,7959786,50000,2,100000
منطقة القصيم,البكيريه,حي/شمال البكيرية,مخطط/أخرى, قطعة بدون,تجاري,1/6/2019,7947910,10000,58.5,585000
منطقة القصيم,البكيريه,حي/شمال الضلفعة,مخطط/أخرى, قطعة 4,تجاري,1/30/2019,8051622,50000,5,250000
منطقة القصيم,البكيريه,حي/غرب البكيرية,مخطط/أخرى, قطعة بدون,تجاري,1/22/2019,8009842,24000,4.1666,100000
منطقة القصيم,الفيضه,حي/أخرى,مخطط/أخرى, قطعة 1,تجاري,1/24/2019,8022808,55500,1.6216,90000
منطقة القصيم,الفيضه,حي/أخرى,مخطط/أخرى, قطعة 10,تجاري,1/24/2019,8022877,89300,1.0078,90000
منطقة القصيم,الفيضه,حي/أخرى,مخطط/أخرى, قطعة 11,تجاري,1/24/2019,8022896,51000,1.7647,90000
منطقة القصيم,الفيضه,حي/أخرى,مخطط/أخرى, قطعة 12,تجاري,1/24/2019,8022891,50000,1.8,90000
منطقة القصيم,الفيضه,حي/أخرى,مخطط/أخرى, قطعة 13,تجاري,1/24/2019,8022886,50000,1.8,90000
منطقة القصيم,الفيضه,حي/أخرى,مخطط/أخرى, قطعة 16,تجاري,1/24/2019,8022840,50000,1.8,90000
منطقة القصيم,الفيضه,حي/أخرى,مخطط/أخرى, قطعة 17,تجاري,1/24/2019,8022739,50000,1.8,90000
منطقة القصيم,الفيضه,حي/أخرى,مخطط/أخرى, قطعة 19,تجاري,1/24/2019,8022880,50000,1.8,90000
منطقة القصيم,الفيضه,حي/أخرى,مخطط/أخرى, قطعة 2,تجاري,1/24/2019,8022781,62500,1.44,90000
منطقة القصيم,الفيضه,حي/أخرى,مخطط/أخرى, قطعة 20,تجاري,1/24/2019,8022875,50000,1.8,90000
منطقة القصيم,الفيضه,حي/أخرى,مخطط/أخرى, قطعة 21,تجاري,1/24/2019,8022847,50000,1.8,90000
منطقة القصيم,الفيضه,حي/أخرى,مخطط/أخرى, قطعة 24,تجاري,1/24/2019,7795141,50000,1.8,90000
منطقة القصيم,الفيضه,حي/أخرى,مخطط/أخرى, قطعة 3,تجاري,1/24/2019,8022905,51000,1.7647,90000
منطقة القصيم,الفيضه,حي/أخرى,مخطط/أخرى, قطعة 4,تجاري,1/24/2019,8022901,54400,1.6544,90000
منطقة القصيم,الفيضه,حي/أخرى,مخطط/أخرى, قطعة 5,تجاري,1/24/2019,8022899,53200,1.6917,90000
منطقة القصيم,الفيضه,حي/أخرى,مخطط/أخرى, قطعة 6,تجاري,1/24/2019,8022903,60000,1.5,90000
منطقة القصيم,الفيضه,حي/أخرى,مخطط/أخرى, قطعة 7,تجاري,1/24/2019,8022898,50000,1.8,90000
منطقة القصيم,الفيضه,حي/أخرى,مخطط/أخرى, قطعة 9,تجاري,1/24/2019,8022882,51800,1.7374,90000
منطقة القصيم,القواره,حي/أخرى,مخطط/أخرى, قطعة 4,تجاري,1/27/2019,8033157,52000,0.9615,50000
منطقة القصيم,القواره,حي/أخرى,مخطط/أخرى, قطعة 6,تجاري,1/27/2019,8033162,53300,0.938,50000
منطقة القصيم,القواره,حي/قراين الترمس,مخطط/917, قطعة 3,تجاري,1/27/2019,8033170,50000,1,50000
منطقة القصيم,القواره,حي/قراين الترمس,مخطط/917, قطعة 5,تجاري,1/27/2019,8033158,50000,1,50000
منطقة القصيم,بريده,حي/أخرى,مخطط/أخرى, قطعة 1,تجاري,1/14/2019,7979086,53000,0.3773,20000
منطقة القصيم,بريده,حي/اللسيب,مخطط/621 فى 15/ 9/ 1409هـ, قطعة 1,تجاري,1/20/2019,8004611,50000,3.6528,182641
منطقة القصيم,بريده,حي/اللسيب,مخطط/621 فى 15/ 9/ 1409هـ, قطعة 3,تجاري,1/20/2019,8004546,50000,3.6528,182641
منطقة القصيم,بريده,حي/الهدية,مخطط/أخرى, قطعة بدون,تجاري,1/30/2019,8050478,3821.33,16.0938,61500
منطقة القصيم,بريده,حي/الهدية,مخطط/أخرى, قطعة بدون,تجاري,1/31/2019,8036324,431268.79,3.9696,1712000
منطقة القصيم,بريده,حي/غرب البصر,مخطط/4, قطعة 1,تجاري,1/21/2019,8006108,9606.11,78.0753,750000
منطقة القصيم,بريده,حي/غرب بريدة,مخطط/أخرى, قطعة 1,تجاري,1/23/2019,8012830,50000,1.8,90000
منطقة القصيم,"رياض الخبراء","حي/شمال رياض الخبراء المضباعة",مخطط/أخرى, قطعة 9/أ/1,تجاري,1/16/2019,7992534,12862.5,7.6967,99000
منطقة القصيم,عنيزه,حي/شمال عنيزة,مخطط/أخرى, قطعة بدون,تجاري,1/9/2019,7959859,72950,30.1576,2200000
منطقة القصيم,عيون الجوى,حي/أخرى,مخطط/أخرى, قطعة 1,تجاري,1/23/2019,8020574,292334,0.2394,70000
منطقة القصيم,عيون الجوى,حي/أخرى,مخطط/أخرى, قطعة 5,تجاري,1/23/2019,8019977,57575,0.8684,50000
منطقة القصيم,عيون الجوى,حي/غرب بريدة,مخطط/108, قطعة 3,تجاري,1/23/2019,8020794,50000,0.4,20000
المنطقة الشرقية,ابقيق,حي/الكدادية الشرقية,مخطط/أخرى, قطعة بدون,تجاري,1/23/2019,8021395,74480.88,80.5575,6000000
المنطقة الشرقية,"الاحساء","حي/الأحساء - المبرز",مخطط/أخرى, قطعة بدون,تجاري,1/10/2019,7966020,1410.73,354.4264,500000
المنطقة الشرقية,القطيف,حي/غرب الاوجام,مخطط/3, قطعة 96,تجاري,1/28/2019,7966127,50000,220,11000000
المنطقة الشرقية,حرض,حي/أخرى,مخطط/أخرى, قطعة 1,تجاري,1/31/2019,7999351,2000000,0.005,10000
المنطقة الشرقية,حرض,حي/أخرى,مخطط/أخرى, قطعة 1,تجاري,1/31/2019,8057175,1000000,0.3,300000
المنطقة الشرقية,حرض,حي/أخرى,مخطط/أخرى, قطعة 2,تجاري,1/31/2019,8057223,1000000,0.3,300000
منطقة عسير,المضه,حي/أخرى,مخطط/أخرى, قطعة 1,تجاري,1/21/2019,7998251,15802,6.0118,95000
منطقة عسير,المضه,حي/أخرى,مخطط/أخرى, قطعة 455,تجاري,1/21/2019,7998419,20000,1.75,35000
منطقة عسير,باللحمر,حي/بهوان,مخطط/أخرى, قطعة بدون,تجاري,1/21/2019,8003200,21875,27.4285,600000
منطقة عسير,بلقرن,"حي/ثماء",مخطط/أخرى, قطعة بدون,تجاري,1/29/2019,8034350,360,52.0833,18750
منطقة عسير,بيشه,حي/أخرى,مخطط/أخرى, قطعة 194,تجاري,1/21/2019,8009321,25000,4,100000
منطقة عسير,بيشه,حي/الجنينه,مخطط/23/ 28/ 4/ 1399, قطعة 217,تجاري,1/27/2019,8030176,25000,0.8,20000
منطقة عسير,بيشه,حي/الجنينه,مخطط/23/ 4/ 1/ 1399, قطعة 64,تجاري,1/24/2019,8026021,25000,13.2,330000
منطقة عسير,بيشه,حي/الديلمى الزراعى,مخطط/30/ 12/ 1/ 1399, قطعة 202,تجاري,1/10/2019,7970408,29000,3.4482,100000
منطقة عسير,بيشه,"حي/الرقيطاء",مخطط/27, قطعة 16,تجاري,1/20/2019,8001930,25000,6.4,160000
منطقة عسير,طريب,حي/أخرى,مخطط/156, قطعة 67,تجاري,1/27/2019,7947829,27325,14.6386,400000
منطقة تبوك,تبوك,حي/أخرى,مخطط/8, قطعة 527,تجاري,1/15/2019,7985930,50000,12.6,630000
منطقة تبوك,"تيماء",حي/أخرى,مخطط/145 / أ فى 1 / 7 / 1411هـ, قطعة 5,تجاري,1/23/2019,8021386,68792,1.1629,80000
منطقة تبوك,"تيماء",حي/أخرى,مخطط/153فى 1410/4/15هـ, قطعة 1,تجاري,1/8/2019,7917958,56250,1.7777,100000
منطقة تبوك,"تيماء",حي/أخرى,مخطط/153فى 1410/4/15هـ, قطعة 2,تجاري,1/8/2019,7917924,56250,1.7777,100000
منطقة حائل,الاجفر,حي/أخرى,مخطط/أخرى, قطعة 1,تجاري,1/16/2019,7992961,492000,0.1016,50000
منطقة حائل,الشملى,حي/أخرى,مخطط/أخرى, قطعة 119,تجاري,1/9/2019,7965191,67500,0.5185,35000
منطقة حائل,الشملى,حي/أخرى,مخطط/أخرى, قطعة 2,تجاري,1/13/2019,7973762,9960,9.5381,95000
منطقة حائل,الشملى,حي/أخرى,مخطط/أخرى, قطعة 65,تجاري,1/21/2019,8008448,50000,0.58,29000
منطقة حائل,الشنان,حي/أخرى,مخطط/أخرى, قطعة 43/45,تجاري,1/7/2019,7953689,109000,0.8256,90000
منطقة حائل,الشنان,حي/الشغوه,مخطط/86, قطعة 677/678,تجاري,1/24/2019,8025333,100000,1.25,125000
منطقة حائل,الشنان,حي/الشغوه,مخطط/86, قطعة 687/688,تجاري,1/24/2019,8025554,100000,1,100000
منطقة حائل,"بقعاء",حي/أخرى,مخطط/851المعدل, قطعة 20,تجاري,1/21/2019,8008328,100000,0.2,20000
منطقة حائل,"بقعاء",حي/أخرى,مخطط/أخرى, قطعة 1,تجاري,1/27/2019,8022889,350000,0.1428,50000
منطقة حائل,"بقعاء",حي/أخرى,مخطط/أخرى, قطعة 25,تجاري,1/14/2019,7980802,50000,0.9,45000
منطقة حائل,"بقعاء",حي/أخرى,مخطط/أخرى, قطعة 31,تجاري,1/7/2019,7954289,496000,0.1411,70000
منطقة حائل,"بقعاء",حي/أخرى,مخطط/أخرى, قطعة 9,تجاري,1/27/2019,8032820,100000,4.4,440000
منطقة حائل,"بقعاء",حي/أخرى,مخطط/أخرى,عدد العقارات 2-أول قطعة1,تجاري,1/28/2019,8033122,101400,0.493,50000
منطقة حائل,"بقعاء",حي/أخرى,مخطط/أخرى,عدد العقارات 2-أول قطعة2,تجاري,1/27/2019,8022885,101200,0.494,50000
منطقة حائل,"بقعاء",حي/أخرى,مخطط/أخرى,عدد العقارات 2-أول قطعة36,تجاري,1/22/2019,8010005,100000,6.9,690000
منطقة حائل,"بقعاء",حي/أخرى,مخطط/أخرى,عدد العقارات 2-أول قطعة4,تجاري,1/27/2019,8033174,101000,0.495,50000
منطقة حائل,"بقعاء",حي/الجديدة,مخطط/123,عدد العقارات 2-أول قطعة599,تجاري,1/27/2019,8031601,111000,0.2702,30000
منطقة حائل,"بقعاء",حي/الجديدة,مخطط/123,عدد العقارات 2-أول قطعة599,تجاري,1/27/2019,8034132,111000,0.2702,30000
منطقة حائل,"بقعاء",حي/العريدة,مخطط/أخرى, قطعة بدون,تجاري,1/13/2019,7975677,214925,1.5354,330000
منطقة حائل,حائل,حي/أخرى,مخطط/141, قطعة 84,تجاري,1/28/2019,8038984,12044,8.3028,100000
منطقة حائل,حائل,حي/أخرى,مخطط/228, قطعة 291,تجاري,1/9/2019,7958940,50000,2,100000
منطقة حائل,حائل,حي/أخرى,مخطط/2621, قطعة و,تجاري,1/14/2019,7980190,7162,12,85944
منطقة حائل,حائل,حي/أخرى,مخطط/324, قطعة 6,تجاري,1/23/2019,8022470,200000,0.35,70000
منطقة الحدود الشمالية,"رفحاء",حي/أخرى,مخطط/أخرى, قطعة 10,تجاري,1/20/2019,8004360,50000,1.8,90000
منطقة نجران,نجران,حي/أخرى,مخطط/28 فى/ 8/ 5/ 1400هـ, قطعة 188,تجاري,1/3/2019,7942878,50000,33,1650000
منطقة نجران,نجران,حي/أخرى,مخطط/60, قطعة 287,تجاري,1/13/2019,7968871,50000,1.8,90000
منطقة نجران,نجران,حي/أخرى,مخطط/60, قطعة 287,تجاري,1/15/2019,7980857,50000,1.8,90000
منطقة نجران,نجران,حي/أخرى,مخطط/أخرى, قطعة 20,تجاري,1/27/2019,8029903,50000,1.8,90000
منطقة نجران,نجران,حي/أخرى,مخطط/أخرى, قطعة 430,تجاري,1/24/2019,8024898,62500,83.2,5200000
منطقة نجران,نجران,"حي/الحدباء الحصينيه",مخطط/أخرى, قطعة بدون,تجاري,1/17/2019,7993614,40000,2.25,90000
منطقة نجران,نجران,حي/الغويلا,مخطط/23 فى/ 7/ 7/ 1406هـ, قطعة 328,تجاري,1/7/2019,7954356,50000,15.7,785000
منطقة نجران,نجران,حي/الغويلا,مخطط/60/ 17/ 11/ 1405, قطعة 108/هـ,تجاري,1/23/2019,8020149,50000,1.8,90000
منطقة نجران,نجران,حي/الغويلا,مخطط/أخرى, قطعة 485,تجاري,1/21/2019,8007832,20000,4.5,90000
منطقة الجوف,القريات,حي/أخرى,مخطط/أخرى, قطعة 1,تجاري,1/2/2019,7937539,164802,0.3033,50000
منطقة الجوف,القريات,حي/أخرى,مخطط/أخرى, قطعة 4,تجاري,1/31/2019,8055899,122890,0.0813,10000
منطقة الجوف,دومة الجندل,حي/أخرى,مخطط/أخرى, قطعة 2,تجاري,1/8/2019,7955582,68750,2.4625,169300
منطقة الجوف,دومة الجندل,حي/الزراعية,مخطط/أخرى, قطعة بدون,تجاري,1/31/2019,8055590,67000,0.8955,60000
منطقة الجوف,سكاكا,حي/أخرى,مخطط/أخرى, قطعة 1,تجاري,1/13/2019,7975995,50103,16.965,850000
منطقة الجوف,سكاكا,حي/أخرى,مخطط/أخرى, قطعة 2,تجاري,1/28/2019,8040117,75000,20.0006,1500050
منطقة الجوف,سكاكا,حي/أخرى,مخطط/أخرى, قطعة 3,تجاري,1/7/2019,7921288,8291.31,700,5803917
منطقة الجوف,طبرجل,حي/أخرى,مخطط/أخرى, قطعة 3,تجاري,1/29/2019,8042911,34.13,2343.9102,80000
منطقة الجوف,طبرجل,حي/أخرى,مخطط/أخرى, قطعة بدون,تجاري,1/27/2019,8030872,89550.44,5.5834,500000
منطقة الجوف,طبرجل,حي/أخرى,مخطط/أخرى, قطعة بدون,تجاري,1/27/2019,8030989,98428.28,8.1277,800000
منطقة الجوف,طبرجل,"حي/بسيطاء",مخطط/2732 لوحة 15 فى/ 7/ 3/ 1408, قطعة 19,تجاري,1/14/2019,7980052,1000000,0.1,100000
